,betaa1,betaa2,decay,drop_end,drop_middle,loss_mu,lr,n_conv2,n_conv3,n_resid
106,100,1500,0.1,0.0,0.7,0.01,4.785192751174918e-05,64,64,1
107,14,155,0.011237175975402941,0.39724650486905905,0.6780989300667446,1.8551247973628635,0.0024561962406717116,48,62,3
108,32,335,0.0001,0.0012598387140096785,0.3,2.0,0.00014200933107658888,64,32,4
109,100,660,0.0010836247351989398,0.0,0.3110479466839495,0.01,0.002591237150219987,35,55,4
110,57,475,0.0001731553550345415,0.01507173520570309,0.5086185511140251,0.013886629343383866,3.765674994810325e-05,62,61,3
111,10,1500,0.008195211051164981,0.3950426915645956,0.3,1.8438016677226141,0.0014132677057495998,41,32,1
112,32,1413,0.02662123362901065,0.027162946158340213,0.333108921980832,1.964174234367714,6.330381079488325e-05,61,46,1
113,26,1307,0.00011116056273873301,0.3675783866025024,0.3218083923049563,1.566058558175479,0.0005154701006616665,47,61,4
114,96,134,0.0007204433832513862,0.3992785324950264,0.6946972988369661,1.4086697999741453,0.00011351648883610423,39,34,1
115,100,981,0.0001,0.4,0.7,1.0346029214846486,4.058070022032357e-05,64,32,1
116,100,100,0.1,0.4,0.3,0.01,3.08588875463928e-05,63,39,1
117,54,1500,0.1,0.0,0.7,2.0,0.0012033056426496247,64,32,1
